Age,Year
28,2008
25,2008
22,2008
26,2008
25,2008
28,2008
31,2008
34,2008
27,2008
24,2008
31,2008
25,2008
27,2008
23,2008
30,2008
24,2008
24,2008
22,2008
23,2008
22,2008
21,2008
30,2008
26,2008
29,2010
24,2010
23,2010
30,2010
32,2010
26,2010
28,2010
30,2010
26,2010
23,2010
32,2010
28,2010
22,2010
28,2010
24,2010
21,2010
27,2010
22,2010
25,2010
21,2010
24,2010
24,2010
27,2010
31,2012
26,2012
25,2012
23,2012
27,2012
28,2012
24,2012
32,2012
28,2012
25,2012
26,2012
30,2012
24,2012
30,2012
26,2012
23,2012
29,2012
23,2012
27,2012
27,2012
26,2012
26,2012
29,2012
